,TickerPairA,TickerPairB,TickerPairC,Route
369,BTC-USD,DOT-BTC,DOT-USD,0
370,BTC-USD,ENJ-BTC,ENJ-USD,0
371,BTC-USD,EOS-BTC,EOS-USD,0
372,BTC-USD,ETC-BTC,ETC-USD,0
373,BTC-USD,FB-BTC,FB-USD,0
374,BTC-USD,FIL-BTC,FIL-USD,0
375,BTC-USD,GOOGL-BTC,GOOGL-USD,0
376,BTC-USD,GRT-BTC,GRT-USD,0
377,BTC-USD,HBAR-BTC,HBAR-USD,0
378,BTC-USD,HIVE-BTC,HIVE-USD,0
380,BTC-USD,KNC-BTC,KNC-USD,0
381,BTC-USD,LINK-BTC,LINK-USD,0
382,BTC-USD,LTC-BTC,LTC-USD,0
383,BTC-USD,NFLX-BTC,NFLX-USD,0
384,BTC-USD,PAX-BTC,PAX-USD,0
385,BTC-USD,PFE-BTC,PFE-USD,0
386,BTC-USD,REN-BTC,REN-USD,0
387,BTC-USD,RENBTC-BTC,RENBTC-USD,0
388,BTC-USD,RVN-BTC,RVN-USD,0
389,BTC-USD,SC-BTC,SC-USD,0
390,BTC-USD,SOLVE-BTC,SOLVE-USD,0
391,BTC-USD,SPY-BTC,SPY-USD,0
392,BTC-USD,TRX-BTC,TRX-USD,0
393,BTC-USD,TSLA-BTC,TSLA-USD,0
394,BTC-USD,TUSD-BTC,TUSD-USD,0
395,BTC-USD,UMA-BTC,UMA-USD,0
396,BTC-USD,UNI-BTC,UNI-USD,0
397,BTC-USD,USDC-BTC,USDC-USD,0
398,BTC-USD,USDS-BTC,USDS-USD,0
399,BTC-USD,WAXP-BTC,WAXP-USD,0
400,BTC-USD,XLM-BTC,XLM-USD,0
401,BTC-USD,XRP-BTC,XRP-USD,0
402,BTC-USD,XTZ-BTC,XTZ-USD,0
403,BTC-USD,YFL-BTC,YFL-USD,0
404,BTC-USD,ZEC-BTC,ZEC-USD,0
405,BTC-USD,ZEN-BTC,ZEN-USD,0
406,BTC-USD,ZRX-BTC,ZRX-USD,0
407,ETH-EUR,AAVE-ETH,AAVE-EUR,0
408,ETH-BTC,AAVE-ETH,AAVE-BTC,0
409,BTC-EUR,AAVE-BTC,AAVE-EUR,0
410,ETH-EUR,ADA-ETH,ADA-EUR,0
411,ETH-EUR,BAL-ETH,BAL-EUR,0
412,ETH-EUR,BAND-ETH,BAND-EUR,0
413,ETH-EUR,BCH-ETH,BCH-EUR,0
414,ETH-EUR,BSV-ETH,BSV-EUR,0
415,BTC-EUR,ETH-BTC,ETH-EUR,0
416,ETH-EUR,CRO-ETH,CRO-EUR,0
417,ETH-EUR,DOT-ETH,DOT-EUR,0
418,ETH-EUR,GRT-ETH,GRT-EUR,0
419,ETH-EUR,KNC-ETH,KNC-EUR,0
420,ETH-EUR,REN-ETH,REN-EUR,0
421,ETH-EUR,RENBTC-ETH,RENBTC-EUR,0
422,ETH-EUR,TRX-ETH,TRX-EUR,0
423,ETH-EUR,UMA-ETH,UMA-EUR,0
424,ETH-EUR,XLM-ETH,XLM-EUR,0
425,ETH-EUR,XRP-ETH,XRP-EUR,0
426,ETH-EUR,YFL-ETH,YFL-EUR,0
427,ETH-BTC,ADA-ETH,ADA-BTC,0
428,ETH-BTC,ADX-ETH,ADX-BTC,0
429,ETH-BTC,ANKR-ETH,ANKR-BTC,0
430,ETH-BTC,ANT-ETH,ANT-BTC,0
431,ETH-BTC,ATOM-ETH,ATOM-BTC,0
432,ETH-BTC,BAL-ETH,BAL-BTC,0
433,ETH-BTC,BAND-ETH,BAND-BTC,0
434,ETH-BTC,BAT-ETH,BAT-BTC,0
435,ETH-BTC,BCH-ETH,BCH-BTC,0
436,ETH-BTC,BNT-ETH,BNT-BTC,0
437,ETH-BTC,BSV-ETH,BSV-BTC,0
438,ETH-BTC,CELO-ETH,CELO-BTC,0
439,ETH-BTC,COMP-ETH,COMP-BTC,0
440,ETH-BTC,CRO-ETH,CRO-BTC,0
441,ETH-BTC,CVC-ETH,CVC-BTC,0
442,ETH-BTC,DAI-ETH,DAI-BTC,0
443,ETH-BTC,DASH-ETH,DASH-BTC,0
444,ETH-BTC,DGB-ETH,DGB-BTC,0
445,ETH-BTC,DMT-ETH,DMT-BTC,0
446,ETH-BTC,DOGE-ETH,DOGE-BTC,0
447,ETH-BTC,DOT-ETH,DOT-BTC,0
448,ETH-BTC,ENG-ETH,ENG-BTC,0
