Unique_id,TickerPairA,TickerPairB,TickerPairC,Percentage_profit_without_fees,Percentage_profit_with_fees,Amount_profit_USDT,maxAmount_USDT,Route,Route_Result,Alive_time,Date,Time,Status,Round,Session
071866f621584bddbdcee3d06bc9475c,ETH-USDT,CRO-ETH,CRO-USDT,1.03%,0.28%,0.07596052220432825,27.5101356066472,BitRoute,1.0102681945137268,0,15/01/2021,21:01:07,Blocked,77,3
fa90c2cafea64da29545a01192474373,BTC-USDT,CRO-BTC,CRO-USDT,0.79%,0.05%,0.012512781702181149,27.758841999358932,BitRoute,1.007943006135217,0-5,15/01/2021,21:02:40,Blocked,105,3
15dbe641215d4528b329530d237ad3b5,ETH-USDT,CRO-ETH,CRO-USDT,0.45%,-0.30%,-0.08220507757281859,27.65640710744688,BitRoute,1.0045257940376335,0,15/01/2021,21:02:52,Blocked,108,3
c2aeae5dc50f4267a263397412a721d1,BTC-USDT,CRO-BTC,CRO-USDT,0.82%,0.07%,0.018841676048674483,27.76914054749751,BitRoute,1.0081741318363349,0,15/01/2021,21:02:54,Blocked,108,3
2cc67d10590649b489032183b74ff601,USDT-USD,ETH-USDT,ETH-USD,0.84%,0.09%,0.01470897003908758,15.772071000000002,BitRoute,1.00842971840896,0,15/01/2021,21:07:30,Blocked,199,3
94f228b58f364d618a8ec2e3119fd975,USD-EUR,USDT-USD,USDT-EUR,0.64%,-0.04%,-0.008687757720657245,24.0475581,BitRoute,1.006371854960179,0,15/01/2021,21:07:31,Blocked,199,3
cd0602cf5c774fb69522b35609e0013d,USDT-USD,ADA-USDT,ADA-USD,0.89%,0.13%,0.03405715272412371,25.821141603546966,BitRoute,1.0088809019706342,0,15/01/2021,21:07:32,Blocked,199,3
f3921113dcea449cb2f06e863539fa92,USDT-USD,BAT-USDT,BAT-USD,0.79%,0.04%,0.01012817410288877,25.88524714,BitRoute,1.0079441169913177,0,15/01/2021,21:07:33,Blocked,199,3
a3dd747ba2a84cddaf0f050f347f4217,USDT-USD,BTC-USDT,BTC-USD,0.92%,0.16%,0.04232044954602407,25.88524714,BitRoute,1.009200027647361,0,15/01/2021,21:07:35,Blocked,199,3
c50c928b974347bfb5b86b0488cc03d2,USDT-USD,CELO-USDT,CELO-USD,0.44%,-0.31%,-0.04743522380853085,15.2727380489502,BitRoute,1.0044127096768691,0,15/01/2021,21:07:36,Blocked,199,3
9739f716b52c4f03b4405b4588bc88c7,USDT-USD,COMP-USDT,COMP-USD,0.68%,-0.08%,-0.02018604980358774,25.718700573937834,BitRoute,1.0067564806720528,0,15/01/2021,21:07:38,Blocked,199,3
fcd8fb6f648d4de68f3ef571f1ba1e0b,USDT-USD,DASH-USDT,DASH-USD,0.88%,0.12%,0.031045119518161936,25.88524714,BitRoute,1.0087594754914375,0,15/01/2021,21:07:41,Blocked,199,3
290afbcdac9446dcb31c94131f39a92f,USDT-USD,EOS-USDT,EOS-USD,0.84%,0.09%,0.02282979353122613,25.88524714,BitRoute,1.0084390812781514,0,15/01/2021,21:07:42,Blocked,199,3
0463334b6afd41e3b60f7238f6ef31d7,USDT-USD,HBAR-USDT,HBAR-USD,0.56%,-0.19%,-0.04967607733992727,25.86135743656733,BitRoute,1.0056090403283269,0,15/01/2021,21:07:43,Blocked,199,3
9f72ab02cac34a5286dfc3faa11a7c8f,USDT-USD,LTC-USDT,LTC-USD,0.87%,0.11%,0.02967294753306879,25.88524714,BitRoute,1.0087060756594022,0,15/01/2021,21:07:44,Blocked,199,3
14a4b8ff9d1a4ad98a5720d71fc8dd99,USDT-USD,RVN-USDT,RVN-USD,0.68%,-0.07%,-0.019040364956802447,25.826379930117426,BitRoute,1.0068041938417305,0,15/01/2021,21:07:45,Blocked,199,3
dc99e56f15a0423bafb5017fcdc0002f,USDT-EUR,CRO-USDT,CRO-EUR,0.57%,-0.12%,-0.027618071670529515,23.8756348355472,BitRoute,1.0056654978691981,0,15/01/2021,21:09:01,Blocked,8,4
8b73cacc690c4773b9b9bb6f2fa09778,USDT-EUR,CRO-USDT,CRO-EUR,0.78%,0.15%,0.0353740931666143,23.935350683732626,BitRoute,1.00783547469031,0,15/01/2021,21:10:03,Blocked,23,4
0ecd7d434da04865877bc2e74925707a,USDT-EUR,CRO-USDT,CRO-EUR,0.68%,0.03%,0.0064158580555356,23.936556567436643,BitRoute,1.0068394557153733,0,15/01/2021,21:10:31,Blocked,30,4
12b0b0fce6b9401890a044c72f4df8e8,USDT-EUR,CRO-USDT,CRO-EUR,0.60%,-0.07%,-0.017759780829632338,23.9376519883183,BitRoute,1.0060085413605218,0,15/01/2021,21:10:49,Blocked,35,4
20c085394c7a4a92823f1623542312b8,BTC-USDT,CRO-BTC,CRO-USDT,0.67%,-0.08%,-0.014211908419205029,16.726401797663392,BitRoute,1.0066519530180968,0,15/01/2021,21:16:27,Blocked,147,4
5012d767e69844a0aea7bafb7b2231d6,USDT-USD,CRO-USDT,CRO-USD,1.13%,0.38%,0.09792737904553547,25.625945899449054,BitRoute,1.0113203559896196,0,15/01/2021,21:22:00,Blocked,264,4
69ce3c70ed974e34a630d1a3ceb14cf4,USDT-USD,CRO-USDT,CRO-USD,0.99%,0.24%,0.0619127784319933,25.634191365736648,BitRoute,1.0099143517463258,0,15/01/2021,21:22:36,Blocked,276,4
f3aa009236dc40739ddcf59590c58146,BTC-USDT,CRO-BTC,CRO-USDT,0.43%,-0.32%,-0.08875183127326362,27.740770998075426,BitRoute,1.0042980781868092,0,15/01/2021,21:23:02,Blocked,284,4
d5cae52dd8704b69a03c0527fad40bf4,USDT-USD,CRO-USDT,CRO-USD,0.80%,0.05%,0.007053142022129741,14.145671763679614,BitRoute,1.0079984976699414,0,15/01/2021,21:27:10,Blocked,368,4
57126939da1540a5b5e5725f917d2fbd,USDT-USD,CRO-USDT,CRO-USD,0.66%,-0.09%,-0.012777269420452124,14.135879176337054,BitRoute,1.0065961107363,0,15/01/2021,21:27:25,Blocked,373,4
e5258e32c04c4c30bcf20f00cc9f08af,USDT-EUR,CRO-USDT,CRO-EUR,0.55%,-0.14%,-0.03294703800651312,23.845181208467235,BitRoute,1.0054886188413823,0,15/01/2021,21:37:24,Blocked,575,4
d2fa2cd5333a4bbeb84576fa3154296f,BTC-USDT,CRO-BTC,CRO-USDT,0.48%,-0.27%,-0.07563040323084066,27.68642636921854,BitRoute,1.0047688238136958,0,15/01/2021,21:46:12,Blocked,750,4
2b1e77866bb449eb8376f08b6c312495,ETH-USDT,WAXP-ETH,WAXP-USDT,0.52%,-0.23%,-0.03075131730309101,13.238877117252965,BitRoute,1.0051703448760327,0,15/01/2021,21:55:30,Blocked,934,4
1e2fd4f2285f4f97904edf8f1bb2d523,ETH-USDT,WAXP-ETH,WAXP-USDT,0.42%,-0.33%,-0.03349660525888931,10.022870753908542,BitRoute,1.0041599229516656,0,15/01/2021,21:57:06,Blocked,966,4
85fcc38d6ecd4453a25e3e58427fd61b,USDT-EUR,BSV-USDT,BSV-EUR,0.48%,-0.22%,-0.052444632803746116,23.429425814472808,BitRoute,1.0047854357315884,0,15/01/2021,21:59:44,Blocked,1020,4
